Rejoined_genes	Rejoined_position	Strand	CR_type
mRNA:RC0G0020900-mRNA:RC0G0029400	Chr00:1690494-2646624	-/+	Inter-chr fusion
mRNA:RC0G0047300-mRNA:RC0G0048700	Chr00:4856486-5029521	+/+	Inter-chr fusion
mRNA:RC0G0059000-mRNA:RC0G0063600	Chr00:6563303-7067291	+/-	Inter-chr fusion
mRNA:RC0G0071200-mRNA:RC0G0092100	Chr00:8242103-10905283	-/+	Inter-chr fusion
mRNA:RC0G0097300-mRNA:RC0G0103300	Chr00:11528345-12132925	+/+	Inter-chr fusion
mRNA:RC0G0110300-mRNA:RC0G0111900	Chr00:13247705-13482544	+/-	Inter-chr fusion
mRNA:RC0G0118900-mRNA:RC0G0122200	Chr00:14079909-14641041	-/-	Inter-chr fusion
mRNA:RC0G0126700-mRNA:RC0G0127800	Chr00:15571734-15701160	-/+	Inter-chr fusion
mRNA:RC0G0134300-mRNA:RC0G0135100	Chr00:16604983-16794081	+/+	Inter-chr fusion
mRNA:RC0G0138100-mRNA:RC0G0140500	Chr00:17297492-17896829	+/-	Inter-chr fusion
mRNA:RC0G0145800-mRNA:RC0G0172500	Chr00:18448715-22516537	-/+	Inter-chr fusion
mRNA:RC0G0177800-mRNA:RC0G0182000	Chr00:22926715-23940309	+/-	Inter-chr fusion
mRNA:RC0G0184100-mRNA:RC0G0210500	Chr00:24117344-28319768	-/-	Inter-chr fusion
mRNA:RC1G0157500-mRNA:RC1G0238400	Chr01:21756053-32352802	-/+	Inter-chr fusion
mRNA:RC1G0399300-mRNA:RC1G0401700	Chr01:50174704-50320564	-/-	Inter-chr fusion
mRNA:RC1G0501600-mRNA:RC1G0503300	Chr01:58207232-58279213	-/+	Inter-chr fusion
mRNA:RC2G0008100-mRNA:RC2G0008500	Chr02:697646-731457	-/-	Inter-chr fusion
mRNA:RC2G0110800-mRNA:RC2G0111400	Chr02:9077288-9164032	-/-	Inter-chr fusion
mRNA:RC2G0113400-mRNA:RC2G0113700	Chr02:9337839-9398459	-/-	Inter-chr fusion
mRNA:RC2G0116400-mRNA:RC2G0116500	Chr02:9596178-9606857	-/-	Inter-chr fusion
mRNA:RC2G0169700-mRNA:RC2G0186400	Chr02:14458670-16147532	-/-	Inter-chr fusion
mRNA:RC2G0287700-mRNA:RC2G0290800	Chr02:28648638-29154235	+/+	Inter-chr fusion
mRNA:RC2G0299600-mRNA:RC2G0324200	Chr02:30577773-34229608	+/-	Inter-chr fusion
mRNA:RC2G0334800-mRNA:RC2G0338100	Chr02:36297822-37168308	-/-	Inter-chr fusion
mRNA:RC2G0348700-mRNA:RC2G0355500	Chr02:39054141-39906055	-/+	Inter-chr fusion
mRNA:RC2G0361100-mRNA:RC2G0375800	Chr02:40645535-42211974	+/-	Inter-chr fusion
mRNA:RC2G0396800-mRNA:RC2G0404100	Chr02:45363494-46213906	-/+	Inter-chr fusion
mRNA:RC2G0488900-mRNA:RC2G0490000	Chr02:57041695-57247072	-/+	Inter-chr fusion
mRNA:RC2G0512500-mRNA:RC2G0515500	Chr02:59395351-59805066	+/-	Inter-chr fusion
mRNA:RC2G0523000-mRNA:RC2G0533200	Chr02:60563984-61598087	-/-	Inter-chr fusion
mRNA:RC2G0572500-mRNA:RC2G0573900	Chr02:65306612-65474228	-/+	Inter-chr fusion
mRNA:RC3G0025900-mRNA:RC3G0050100	Chr03:6063814-9753298	-/+	Inter-chr fusion
mRNA:RC3G0054900-mRNA:RC3G0071600	Chr03:10586847-12957708	+/-	Inter-chr fusion
mRNA:RC3G0088700-mRNA:RC3G0101500	Chr03:15437278-17440813	+/+	Inter-chr fusion
mRNA:RC3G0318500-mRNA:RC3G0318900	Chr03:39501816-39545074	-/+	Inter-chr fusion
mRNA:RC3G0401600-mRNA:RC3G0402700	Chr03:45568388-45630488	+/+	Inter-chr fusion
mRNA:RC4G0081100-mRNA:RC4G0086100	Chr04:9515739-10430800	+/-	Inter-chr fusion
mRNA:RC4G0132700-mRNA:RC4G0133000	Chr04:18511217-18609985	-/-	Inter-chr fusion
mRNA:RC4G0328100-mRNA:RC4G0328200	Chr04:45040474-45055411	+/-	Inter-chr fusion
mRNA:RC4G0496300-mRNA:RC4G0496800	Chr04:58591976-58603709	-/+	Inter-chr fusion
mRNA:RC5G0178000-mRNA:RC5G0180200	Chr05:14054725-14288900	-/+	Inter-chr fusion
mRNA:RC5G0197100-mRNA:RC5G0205400	Chr05:15835657-16699762	-/-	Inter-chr fusion
mRNA:RC5G0389600-mRNA:RC5G0398800	Chr05:38593146-39688441	+/+	Inter-chr fusion
mRNA:RC5G0433200-mRNA:RC5G0435000	Chr05:45179297-45583834	+/+	Inter-chr fusion
