Order	Family	Species	Median	Genome Size (Mb)	Assembly Level	Repeats	Gene Number	WGD events	Reference	DOI	WGDeventscount
Acorales	Acoraceae	Acorus calamus	22	700.94	chromosome	44.70%	46065	Epsilon+WGD+WGD	Ma et al., 2023	https://doi.org/10.1038/s41467-023-38829-3	3
Acorales	Acoraceae	Acorus gramineus	12	391.63	chromosome	47.13%	25090	Epsilon+WGD	Ma et al., 2023	https://doi.org/10.1038/s41467-023-38829-3	2
Acorales	Acoraceae	Acorus tatarinowii Schott	12	415.18	chromosome	42.12%	28241	Epsilon+WGD	Shi et al., 2022	https://doi.org/10.1038/s41477-022-01187-x	2
Alismatales	Araceae	Amorphophallus konjac	13	5600	chromosome	80.60%	44333	Epsilon+WGD+WGD	Gao et al., 2022	https://doi.org/10.1016/j.csbj.2022.02.009	3
Alismatales	Araceae	Colocasia esculenta	14	2390	chromosome	88.43%	28695	Epsilon+WGD+WGD	Yin et al., 2020	https://doi.org/10.1111/1755-0998.13239	3
Alismatales	Araceae	Cryptocoryne crispatula	16	802	chromosome	68.43%	30010	Epsilon+WGD+WGD	Qian et al.,2024	https://doi.org/10.1093/dres/dsae003	3
Alismatales	Araceae	Lem minuta	21	310	chromosome	57.00%	22873	Epsilon+WGD	Abramson et al., 2021	https://doi.org/10.1093/plphys/kiab564	2
Alismatales	Araceae	Spirodela intermedia	18	160	chromosome	20.00%	22245	Epsilon+WGD+WGD	Hoang et al., 2020	https://doi.org/10.1038/s41598-020-75728-9	3
Alismatales	Araceae	Spirodela polyrhiza	20	158	chromosome	15.73%	19623	Epsilon+WGD+WGD	Wang et al., 2014	https://doi.org/10.1038/ncomms4311	3
Alismatales	Araceae	Wolffia australia	20	432	scaffold	38.95%	22293	Epsilon+WGD+WGD	Park et al., 2021	https://doi.org/10.1038/s42003-021-02422-5	3
Alismatales	Cymodoceaceae	Amphibolis antarctica	7	233	scaffold	47.00%	16176	Epsilon+WGT+WGD	Bayer et al., 2022	https://doi.org/10.1101/2022.11.22.517588	3
Alismatales	Cymodoceaceae	Cymodocea nodosa	18	379	scaffold	64.65%	20563	Epsilon+WGT+WGD	Ma et al., 2024	https://doi.org/10.1038/s41477-023-01608-5	3
Alismatales	Hydrocharitaceae	Thalassia testudinum	9	4262	scaffold	87.36%	25665	Epsilon+WGT	Ma et al., 2024	https://doi.org/10.1038/s41477-023-01608-5	2
Alismatales	Posidoniaceae	Posidonia australis	10	1400	scaffold		21126	Epsilon+WGT	Bayer et al., 2022	https://doi.org/10.1101/2022.11.22.517588	2
Alismatales	Posidoniaceae	Posidonia oceanica	10	2963	scaffold	85.18%	23306	Epsilon+WGT	Ma et al., 2024	https://doi.org/10.1038/s41477-023-01608-5	2
Alismatales	Potamogetoceae	Potamogeton acutifolius	13	612	scaffold	40.00%	21277	Epsilon+WGT+WGD	Ma et al., 2024	https://doi.org/10.1038/s41477-023-01608-5	3
Alismatales	Zosteraceae	Zostera mari	6	260	scaffold	40.76%	22256	Epsilon+WGT+WGD	Ma et al., 2024	https://doi.org/10.1038/s41477-023-01608-5	3
Alismatales	Zosteraceae	Zostera mari	6	259	chromosome	67.12%	21533	Epsilon+WGT+WGD	Ma et al., 2021	https://doi.org/10.12688/f1000research.38156.1	3
Alismatales	Zosteraceae	Zostera muelleri	12	632	scaffold	56.00%	35875	Epsilon+WGT+WGD+WGD	Lee et al., 2016	https://doi.org/10.1104/pp.16.00868	4
Amborellales	Amborellaceae	Amborella trichopoda	13	870	scaffold	57.20%	26846	Epsilon	AMBORELLA GENOME PROJECT 2013	https://doi.org/10.1126/science.1241089	1
Apiales	Apiaceae	Angelica sinensis	11	2370	chromosome	77.74%	43202	Epsilon+Gamma+WGD+WGD	Han et al., 2022	https://doi.org/10.1111/tpj.16007	4
