Ancestral_genes	Ancestral_position	CR_type
VIT_201s0011g00910.1.v2.1-VIT_201s0011g00920.1.v2.1	chr1:779095-791377	AK-chr fission
VIT_201s0011g01940.2.v2.1-VIT_201s0011g02000.1.v2.1	chr1:1669884-1710146	AK-chr fission
VIT_210s0042g01380.1.v2.1-VIT_210s0042g00960.1.v2.1	chr10:15522975-14458409	AK-chr fission
VIT_211s0037g00630.1.v2.1-VIT_211s0037g00810.1.v2.1	chr11:8696762-9370024	AK-chr fission
VIT_211s0052g00590.1.v2.1-VIT_211s0052g00850.2.v2.1	chr11:18015291-18423446	AK-chr fission
VIT_212s0028g00470.1.v2.1-VIT_212s0142g00340.2.v2.1	chr12:1099502-258866	AK-chr fission
VIT_212s0059g00280.1.v2.1-VIT_212s0059g00290.2.v2.1	chr12:5140960-5150288	AK-chr fission
VIT_212s0057g01530.1.v2.1-VIT_212s0059g00610.5.v2.1	chr12:10291128-5449824	AK-chr fission
VIT_212s0057g00230.1.v2.1-VIT_212s0034g01220.1.v2.1	chr12:8889267-17174191	AK-chr fission
VIT_214s0006g02190.1.v2.1-VIT_214s0006g02960.2.v2.1	chr14:19458252-21229350	AK-chr fission
VIT_214s0108g01630.1.v2.1-VIT_214s0066g01610.1.v2.1	chr14:30170088-27970454	AK-chr fission
VIT_216s0039g00490.4.v2.1-VIT_216s0039g00610.1.v2.1	chr16:242426-308918	AK-chr fission
VIT_218s0001g00450.1.v2.1-VIT_218s0122g01340.1.v2.1	chr18:1345120-938209	AK-chr fission
VIT_218s0001g03850.1.v2.1-VIT_218s0001g03880.1.v2.1	chr18:3563511-3565751	AK-chr fission
VIT_218s0001g08260.1.v2.1-VIT_218s0001g04420.1.v2.1	chr18:6759986-3847346	AK-chr fission
VIT_218s0001g04730.1.v2.1-VIT_218s0001g08370.2.v2.1	chr18:3965374-6852092	AK-chr fission
VIT_219s0085g01210.3.v2.1-VIT_219s0085g00830.1.v2.1	chr19:23955930-23284514	AK-chr fission
VIT_203s0088g01140.1.v2.1-VIT_203s0017g00980.1.v2.1	chr3:9388788-16337483	AK-chr fission
VIT_204s0008g07400.1.v2.1-VIT_204s0079g00790.1.v2.1	chr4:7808931-11742257	AK-chr fission
VIT_204s0023g00950.1.v2.1-VIT_204s0023g00980.2.v2.1	chr4:17384275-17400740	AK-chr fission
VIT_205s0051g00590.1.v2.1-VIT_205s0020g04650.1.v2.1	chr5:11380870-6504318	AK-chr fission
VIT_205s0020g04950.1.v2.1-VIT_205s0136g00310.1.v2.1	chr5:6829145-13691938	AK-chr fission
VIT_205s0094g00810.1.v2.1-VIT_205s0102g00270.2.v2.1	chr5:24139040-22146323	AK-chr fission
VIT_205s0102g01140.2.v2.1-VIT_205s0094g00820.1.v2.1	chr5:23262883-24140197	AK-chr fission
VIT_206s0004g01870.1.v2.1-VIT_206s0004g02580.1.v2.1	chr6:2298207-3099617	AK-chr fission
VIT_206s0004g02790.1.v2.1-VIT_206s0004g02920.2.v2.1	chr6:3505685-3648623	AK-chr fission
VIT_207s0005g00940.1.v2.1-VIT_207s0005g01050.1.v2.1	chr7:3531114-3619527	AK-chr fission
VIT_207s0005g01560.1.v2.1-VIT_207s0005g01600.1.v2.1	chr7:4063758-4094055	AK-chr fission
VIT_207s0005g02750.1.v2.1-VIT_207s0005g02960.1.v2.1	chr7:5032129-5701995	AK-chr fission
VIT_207s0005g06680.1.v2.1-VIT_207s0191g00010.1.v2.1	chr7:12070335-14762359	AK-chr fission
VIT_208s0007g05070.1.v2.1-VIT_208s0007g05170.3.v2.1	chr8:18996818-19088322	AK-chr fission
VIT_208s0007g05870.2.v2.1-VIT_208s0007g05890.1.v2.1	chr8:19747315-19753404	AK-chr fission
VIT_209s0018g01210.1.v2.1-VIT_209s0002g00740.1.v2.1	chr9:18083816-489240	AK-chr fission
VIT_209s0002g03610.1.v2.1-VIT_209s0018g01420.1.v2.1	chr9:3283862-18486403	AK-chr fission
